1,1209008128,36406765354
2,1209008128,3599408502
3,1209008128,36506651661
4,1209008128,3592667112
5,1209008128,36688806879
6,1209008128,3611815223
7,1209008128,36108616752
8,1209008128,3582152391
9,1209008128,36389272745
0,1276116992,40190775135
1,1276116992,3335564463
2,1276116992,38726395622
3,1276116992,3793806125
4,1276116992,38919177704
5,1276116992,3922331807
6,1276116992,37899900184
7,1276116992,3873493913
8,1276116992,38527419877
9,1276116992,3960643671
0,1343225856,6028207339
1,1343225856,37041122983
2,1343225856,6294757261
3,1343225856,36629143857
4,1343225856,7312286915
5,1343225856,36512755561
6,1343225856,7086952721
7,1343225856,37459662930
8,1343225856,7283744512
9,1343225856,37646294657
0,1410334720,38540519135
1,1410334720,7181545114
2,1410334720,36990097772
3,1410334720,7162770169
4,1410334720,38937372117
5,1410334720,6830604935
6,1410334720,37876301258
7,1410334720,7685063046
8,1410334720,37381045661
9,1410334720,9036562106
0,1477443584,11027112276
1,1477443584,36530948583
2,1477443584,10533048967
3,1477443584,37512368118
4,1477443584,10625042060
5,1477443584,37020169032
6,1477443584,10541744345
7,1477443584,35964958551
8,1477443584,11351266261
9,1477443584,35992113835
0,1544552448,37656313137
1,1544552448,11550476994
2,1544552448,37615722114
3,1544552448,11852642555
4,1544552448,38673549244
5,1544552448,11733463422
6,1544552448,42986658609
7,1544552448,11728353392
8,1544552448,37904077717
9,1544552448,11112876962
0,1611661312,14534294706
1,1611661312,37037212879
2,1611661312,15292897466
3,1611661312,36414812308
4,1611661312,14357251903
5,1611661312,40056320652
6,1611661312,17606435071
7,1611661312,37117045612
8,1611661312,14098569436
9,1611661312,37788828437
0,1678770176,38269168551
1,1678770176,15178231249
2,1678770176,39297162168
3,1678770176,14899076160
4,1678770176,40610077742
5,1678770176,15720584422
6,1678770176,38155835718
7,1678770176,15900792167
8,1678770176,38825524429
9,1678770176,15873640883
0,1745879040,17903205770
1,1745879040,39222806756
2,1745879040,18705236064
3,1745879040,39741286218
4,1745879040,18961855024
5,1745879040,38912109562
6,1745879040,18543541632
7,1745879040,37467078653
8,1745879040,18293813686
9,1745879040,37408714537
0,1812987904,39847851730
1,1812987904,18718272102
2,1812987904,40668719344
3,1812987904,18570082251
4,1812987904,39454692916
5,1812987904,19737483570
6,1812987904,44547416048
7,1812987904,19778983202
8,1812987904,41033866153
9,1812987904,19370297505
0,1880096768,21785777218
1,1880096768,38313677981
2,1880096768,22109770917
3,1880096768,38858589759
4,1880096768,22788274510
5,1880096768,46744840920
6,1880096768,22287573155
7,1880096768,42850880048
8,1880096768,22287528853
9,1880096768,38804842803
0,1947205632,40906386531
1,1947205632,22919696389
2,1947205632,46482577974
3,1947205632,23200847412
4,1947205632,40766374724
5,1947205632,22951723091
6,1947205632,39596483686
7,1947205632,23393306899
8,1947205632,40699676430
9,1947205632,23653661173
0,2014314496,26029848278
1,2014314496,38743834149
2,2014314496,24887542808
3,2014314496,39410195163
4,2014314496,25496240837
5,2014314496,46666664849
6,2014314496,25277945316
7,2014314496,39819150610
8,2014314496,24602164564
9,2014314496,39839254420
0,2081423360,41963160648
1,2081423360,25925022656
2,2081423360,42192739185
3,2081423360,25235709422
4,2081423360,42396438273
5,2081423360,26391800826
6,2081423360,42889076019
7,2081423360,25400804621
8,2081423360,42993784909
9,2081423360,24984005826
0,2148532224,26732308927
1,2148532224,42480131750
2,2148532224,27309989911
3,2148532224,42150668258
4,2148532224,27145794993
5,2148532224,41995329324
6,2148532224,28273575334
7,2148532224,48992672713
8,2148532224,27264138411
9,2148532224,41915620755
0,2215641088,44719718335
1,2215641088,30181190229
2,2215641088,44591762958
3,2215641088,27564678250
4,2215641088,44050246402
5,2215641088,27424915622
6,2215641088,44208777521
7,2215641088,27371630907
8,2215641088,44586557899
9,2215641088,28218501959
0,2282749952,30198130719
1,2282749952,43641030121
2,2282749952,30123954878
3,2282749952,44407324370
4,2282749952,29567024987
5,2282749952,44408499633
6,2282749952,29232263472
7,2282749952,44913615771
8,2282749952,36171035760
9,2282749952,43946427502
0,2349858816,47702330732
1,2349858816,30237966988
2,2349858816,46650732133
3,2349858816,28934076413
4,2349858816,47316901251
5,2349858816,29314647680
6,2349858816,47156982474
7,2349858816,33031441012
8,2349858816,46663500767
9,2349858816,29465922841
0,2416967680,32202553981
1,2416967680,49674063226
2,2416967680,30372624954
3,2416967680,46936549543
4,2416967680,31163947893
5,2416967680,47243839718
6,2416967680,31352698762
7,2416967680,48229089425
8,2416967680,30496306137
9,2416967680,48715654770
0,2484076544,50694733453
1,2484076544,32220803227
2,2484076544,53656928137
3,2484076544,36469807175
4,2484076544,52414875410
5,2484076544,30883929327
6,2484076544,52666396051
7,2484076544,34987848238
8,2484076544,52249636495
9,2484076544,30097568885
0,2551185408,32471109971
1,2551185408,53822037144
2,2551185408,32949407258
3,2551185408,52674859353
4,2551185408,37103703060
5,2551185408,53620592027
6,2551185408,31598630861
7,2551185408,52924324823
8,2551185408,32283228175
9,2551185408,54311384763
0,2618294272,57096974043
1,2618294272,33163497634
2,2618294272,58820481058
3,2618294272,31204767000
4,2618294272,56104923460
5,2618294272,31211946513
6,2618294272,55083544292
7,2618294272,31976831688
8,2618294272,55874053803
9,2618294272,32202120635
0,2685403136,34190174490
1,2685403136,55289135788
2,2685403136,34010645651
3,2685403136,55268975195
4,2685403136,34133408078
5,2685403136,55533100628
6,2685403136,38224367650
7,2685403136,59368408027
8,2685403136,33421081267
9,2685403136,55960977786
0,2752512000,58049936963
1,2752512000,34329552011
2,2752512000,57158288880
3,2752512000,37307945581
4,2752512000,60350367230
5,2752512000,44127919198
6,2752512000,57032452229
7,2752512000,35539632084
8,2752512000,57135295009
9,2752512000,34503057355
0,2819620864,36946658913
1,2819620864,58038355851
2,2819620864,35518938812
